text,newId,message_id,label,catCode,plaintext,lang,__index_level_0__,label_llama
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@cmurf19 @KeithOlbermann @RepDLesko Are you relating immigrants to cancer?""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.52E+18,1.52E+18,unrelated,4,@cmurf19 @KeithOlbermann @RepDLesko Are you relating immigrants to cancer?,en,425,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""'This is a new low': Ron DeSantis faces blowback after 'trafficking' migrants to Martha’s Vineyard https://t.co/1F7mXRUNgd""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.57E+18,1.57E+18,neutral,3,'This is a new low': Ron DeSantis faces blowback after 'trafficking' migrants to Martha’s Vineyard https://t.co/1F7mXRUNgd,en,592,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""I decided to write 'True Refug. https://t.co/yM9AzJ58LO""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.54E+18,1.54E+18,unrelated,4,I decided to write 'True Refug. https://t.co/yM9AzJ58LO,en,1427,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@babakabafana @collen_sambo2 @CongoMakaota @KidiPotse @Keuzaphonik @Keit_Mangope @EFFSouthAfrica @Julius_S_Malema I was just giving context, that's all. Many people are convinced every immigrant in this country is here on his account.. and you sound like one of them.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.57E+18,1.57E+18,neutral,3,"@babakabafana @collen_sambo2 @CongoMakaota @KidiPotse @Keuzaphonik @Keit_Mangope @EFFSouthAfrica @Julius_S_Malema I was just giving context, that's all. Many people are convinced every immigrant in this country is here on his account.. and you sound like one of them.",en,60,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Migrant families are being sheltered at a D.C. quarantine hotel https://t.co/ioliC36PaR""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.56E+18,1.56E+18,neutral,3,Migrant families are being sheltered at a D.C. quarantine hotel https://t.co/ioliC36PaR,en,1362,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@SuperMayan @LazyLionsNFT Had some major fomo seeing all the pics!! I’m 100% going next year!""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.54E+18,1.54E+18,unrelated,4,@SuperMayan @LazyLionsNFT Had some major fomo seeing all the pics!! I’m 100% going next year!,en,1389,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Wildlife refuge season is here and the geese are back feasting on the eel grass. If you spot the @SEDwildlife rangers ask to have peak through their scope for close up views of these glorious winter visitors""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.58E+18,1.58E+18,unrelated,4,Wildlife refuge season is here and the geese are back feasting on the eel grass. If you spot the @SEDwildlife rangers ask to have peak through their scope for close up views of these glorious winter visitors,en,1445,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@NataliaSylv @alex_segura No. I need to, though. Now that you've brought it to my attention.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.49E+18,1.49E+18,unrelated,4,"@NataliaSylv @alex_segura No. I need to, though. Now that you've brought it to my attention.",en,1377,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@BulletPR00F03 A lot… guaranteed 6 weeks paid leave to mothers, grow economy 4% a year, stop foreign election money, appoint special prosecutor to investigate Hillary, repeal Obama care, eliminate common core, remove all undocumented immigrants. I can keep going, I’m running out of characters""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [2]. <|eot_id|>",1.49E+18,1.49E+18,anti-immigration,2,"@BulletPR00F03 A lot… guaranteed 6 weeks paid leave to mothers, grow economy 4% a year, stop foreign election money, appoint special prosecutor to investigate Hillary, repeal Obama care, eliminate common core, remove all undocumented immigrants. I can keep going, I’m running out of characters",en,1187,anti-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""I love the new legal immigrant. https://t.co/22Ou5nslU7""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.57E+18,1.57E+18,pro-immigration,1,I love the new legal immigrant. https://t.co/22Ou5nslU7,en,1272,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""What #NFT should I buy today? @GutterCatGang @psychedelic_nft @BAYC2745 @LazyLionsNFT @adidasoriginals""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.48E+18,1.48E+18,unrelated,4,What #NFT should I buy today? @GutterCatGang @psychedelic_nft @BAYC2745 @LazyLionsNFT @adidasoriginals,en,1293,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""my friend doesn’t enjoy the connotation with calling her parents immigrants — so she calls them “founders” i just said, “are they raising a pre-seed round on a $10M valuation?”""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.48E+18,1.48E+18,neutral,3,"my friend doesn’t enjoy the connotation with calling her parents immigrants — so she calls them “founders” i just said, “are they raising a pre-seed round on a $10M valuation?”",en,247,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""How did nobody tell me there’s a whole new season of @beforeigners available on @hbomax now? #beforeigners""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.52E+18,1.52E+18,unrelated,4,How did nobody tell me there’s a whole new season of @beforeigners available on @hbomax now? #beforeigners,en,922,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""To the former child migrants, who came t  https://t.co/8BzZloDgBX""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.59E+18,1.59E+18,unrelated,4,"To the former child migrants, who came t  https://t.co/8BzZloDgBX",en,449,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@SenzComon @mkraju Zero. To get a green card or any other immigration benefit you'll be fingerprinted (biometrics collection) and it is run against many criminal history databases. From federal down to the county level. This is what takes so much time in the process.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.59E+18,1.59E+18,neutral,3,@SenzComon @mkraju Zero. To get a green card or any other immigration benefit you'll be fingerprinted (biometrics collection) and it is run against many criminal history databases. From federal down to the county level. This is what takes so much time in the process.,en,484,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""the are thosands of ukranian refugees crossing the border into romania through Maramureș and Bucovina, some by car and some by foot, tons of them are crying and have lost everything""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.50E+18,1.50E+18,pro-immigration,1,"the are thosands of ukranian refugees crossing the border into romania through Maramureș and Bucovina, some by car and some by foot, tons of them are crying and have lost everything",en,1096,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@JLCWood2017 @AndyBrookeLmstn @JeanCharest_ Browns base is minority immigrant voters in the major cities, primarily in the GTA. If Brown is so confident, ask him when he will resign as Mayor & commit to running for the CPC regardless of who wins the #cpcldr race""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.53E+18,1.53E+18,neutral,3,"@JLCWood2017 @AndyBrookeLmstn @JeanCharest_ Browns base is minority immigrant voters in the major cities, primarily in the GTA. If Brown is so confident, ask him when he will resign as Mayor & commit to running for the CPC regardless of who wins the #cpcldr race",en,158,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""Good afternoon #sugarboogerscustomcakes #TaylorSwift #muchadoaboutnothing #windows7migration #throwdownhaymaker #commonsensemedia #cutiesofinstagram💕😍😙😊☺😁💋 #ｖａｐｏｒｗａｖｅ #nytcrosswordpuzzle #expertpilot #counterbalanceforklift #cowboybebop #cowboybebopedit #lelol""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.48E+18,1.48E+18,unrelated,4,Good afternoon #sugarboogerscustomcakes #TaylorSwift #muchadoaboutnothing #windows7migration #throwdownhaymaker #commonsensemedia #cutiesofinstagram💕😍😙😊☺😁💋 #ｖａｐｏｒｗａｖｅ #nytcrosswordpuzzle #expertpilot #counterbalanceforklift #cowboybebop #cowboybebopedit #lelol,en,170,unrelated
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@gracemarylaura @angiebeeb Married with two children seems to qualify migrants for a low rental house if their salary is cerca 50k.""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [3]. <|eot_id|>",1.56E+18,1.56E+18,neutral,3,@gracemarylaura @angiebeeb Married with two children seems to qualify migrants for a low rental house if their salary is cerca 50k.,en,392,neutral
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@AfghanistanInCH Thanks🙏 Dear we are a vulnerable Refugees asylum seeker family. We've been here for over(7)years with #AfghanistanUNHCR https://t.co/xDw8E9DRQg family facing life #threats #traumatized.May face urgent #risks please 🤲🏿 my👨‍👩‍👦‍👦 family safe lives protection. #help""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.61E+18,1.61E+18,pro-immigration,1,@AfghanistanInCH Thanks🙏 Dear we are a vulnerable Refugees asylum seeker family. We've been here for over(7)years with #AfghanistanUNHCR https://t.co/xDw8E9DRQg family facing life #threats #traumatized.May face urgent #risks please 🤲🏿 my👨‍👩‍👦‍👦 family safe lives protection. #help,en,723,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@sharonhearne11 @susan_bagheri @psychman27 @fascinatorfun @KemiBadenoch The natural extension of your response is we trade with no-one, because we refuse to abide by anyone's rules, and end up a western North Korea. Seems a bit silly just because you don't like foreigners...""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.55E+18,1.55E+18,pro-immigration,1,"@sharonhearne11 @susan_bagheri @psychman27 @fascinatorfun @KemiBadenoch The natural extension of your response is we trade with no-one, because we refuse to abide by anyone's rules, and end up a western North Korea. Seems a bit silly just because you don't like foreigners...",en,699,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""The picture itself speaks 😭😭😭 #HelpRefugees_Indonesia""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.48E+18,1.48E+18,pro-immigration,1,The picture itself speaks 😭😭😭 #HelpRefugees_Indonesia,en,880,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""This, all of this. 👇🏽👇🏽👇🏽#ImmigrantRights""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [1]. <|eot_id|>",1.61E+18,1.61E+18,pro-immigration,1,"This, all of this. 👇🏽👇🏽👇🏽#ImmigrantRights",en,214,pro-immigration
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>You are an expert on migration. Answer the question truthfully.<|eot_id|><|start_header_id|>user<|end_header_id|>The next text is a tweet probably about migration:""@livas_stein @DrFantasyLozada Yes, we are. 👏🏽""
Analyze carefully the tweet and assign it to the most relevant category among those listed below. Do not explain your answer and return only a number.
Category numbers: 1 = 'pro-immigration'; 2 = 'anti-immigration'; 3 = 'neutral'; 4 = 'unrelated'.<|eot_id|><|start_header_id|>assistant<|end_header_id|>Answer = [4]. <|eot_id|>",1.53E+18,1.53E+18,unrelated,4,"@livas_stein @DrFantasyLozada Yes, we are. 👏🏽",en,1295,unrelated
