message_id,label,catCode,plaintext,lang,label_llama,tweet_lang
1.58E+18,pro-immigration,1,"2/n Created on the initiative of Robert Gamzon, founder of the Israelite Scouts of France (EIF), the Moissac house opened its doors on December 5, 1939. Located in the heart of the city, it welcomed refugee children from Poland, Austria, Germany and Hungary. They learned https://t.co/TI0p8HKtrJ",en,pro-immigration,en
1.60E+18,pro-immigration,1,@williamthoward @Derrick19074090 @VidaNetwork1350 @ericareport Evidence rather than guessing is always better. It has been proven countless times that immigrants bring in more than they take out.,en,pro-immigration,en
1.57E+18,pro-immigration,1,"Governor Abbott, you disgust me. I’d trade every immigrant at the border for you and your classless, yahoo kind.  #karma #kindness #humanrights",en,pro-immigration,en
1.57E+18,anti-immigration,2,@USRepKeating @GovRonDeSantis This is rich - will you now condemn the Biden Administrations late night flights of undocumented immigrants into blue and purple states????,en,anti-immigration,en
1.57E+18,anti-immigration,2,"Taste this Liberty 🗽& Freedom 🔥  Texas isn’t going to take every illegal immigrant pouring across the border. We don’t have the resources. Time to share, our cup runneth over with illegals & asylum seekers.",en,anti-immigration,en
1.49E+18,anti-immigration,2,"@longfellowwv @JoshMandelOhio That's what Fascists like Josh do. If he had his way, only white immigrants could enter the country.",en,pro-immigration,en
1.56E+18,unrelated,4,"@velkumarss @sureshsambandam Due to share labour. KA gets migrant work crowd, so naturally it gets equalised",en,unrelated,en
1.56E+18,pro-immigration,1,"I love immigrants. Legal, ille. https://t.co/RtlPLVhtxj",en,pro-immigration,en
1.52E+18,unrelated,4,Respectfully . . . Danica Patrick is a snack. #MiamiGrandPrix,en,unrelated,en
1.51E+18,pro-immigration,1,"Biden will welcome 100,000 of the 3.6M Ukrainian refugees fleeing war https://t.co/AQJkAiDJNd @MailOnline",en,pro-immigration,en
1.58E+18,pro-immigration,1,"Immigration Legal Assistance: In partnership with Dorcas International, the City will provide free legal assistance to eligible Providence residents seeking US citizenship or other immigration statuses, and help them navigate available public benefits and programs. [6/10]",en,pro-immigration,en
1.60E+18,anti-immigration,2,"@Conservatives Is that a joke @Conservatives have presided over unprecedented levels of immigration - same old lies, no different to Labour.",en,anti-immigration,en
1.51E+18,anti-immigration,2,THE CITIZENS OF UK  ARE STRUGLING TO GET BYE  THEY ARE USEING FOODBANKS. OUR PENSIONERS ARE STRUGLING WITH HHEATING COSTS AND TO ISING FOOD PRICES.  YET WHEN UKRAINE REFUGEES CONE HERE THEYL GET GET EVERYTHING THROWN AT THEM  BUT THEIR PRESIDENT HIDES 1.3 BILLION PANDORA PAPERS,en,pro-immigration,en
1.53E+18,neutral,3,"‘Keep praying…’ Charles, Prince of Wales message to Ukrainian refugees in Romania. HRH also compliments their English and tells them, ‘I wish my Ukrainian was better.’ #Ukraine https://t.co/V5YOOXcN73",en,pro-immigration,en
1.59E+18,unrelated,4,Iranian refugee who inspired Spielberg’s film ‘The Terminal’ dies inside Paris airport https://t.co/ndSlVZBqRA,en,neutral,en
1.58E+18,anti-immigration,2,I think Ron is wondering how many immigrants he can get on Air Force 1 for a free trip to DC,en,anti-immigration,en
1.49E+18,unrelated,4,@DAZWILSON1974 I’m going to tell you to enjoy your life while I enjoy mine here in France. Then I’m going to block you and continue to embrace all the wonderful opportunities I’m enjoying since emigrating from broken UK which I was delighted to leave 18 months ago. Have a lovely day 👋🏼,en,unrelated,en
1.56E+18,unrelated,4,The Pakastani Flag Rasing Ceremony hosted by @NYCMayor @NYCImmigrants at Evacuation Day Plaza/Bowling Green 8/12/2022 @JabaranAkram @oathnyc @MCastroMOIA @Bobby4Brooklyn @DavidWeprin @ApagCares @APAGUSA @JeniferRajkumar https://t.co/HkbSoWcLgm,en,pro-immigration,en
1.59E+18,unrelated,4,@MenagerieWorks Also keep in mind that you can still follow users outside your instance and they can follow you. It doesn't matter too much. You can also migrate to a new server if desired.,en,unrelated,en
1.55E+18,anti-immigration,2,"@travellingkink Citizens of Commonwealth countries, headed by Queen Elizabeth are claiming asylum in US and Canada on human rights grounds. Shameful",en,anti-immigration,en
1.52E+18,unrelated,4,"Jehovah is my rock, and my fortress, and my deliverer; My God, my rock, in whom I will take refuge; My shield, and the horn of my salvation, my high tower. Psalms 18:2 ASV https://t.co/Tft4KPWUwD",en,unrelated,en
1.57E+18,pro-immigration,1,"GOP despises women, people of color, immigrants, LGBTQ persons, and GOP policies target these groups to punish.   Their programs favor the wealthy & harm everyone but White Christian men. MAGA is the most obvious of their weapinized hatred.  WE MUST DEFEAT THEM in Nov! #VoteBlue",en,pro-immigration,en
1.55E+18,unrelated,4,"@theyinkahassan @girlyjay1 @Ebubetutu @AjeboDanny @Wizebaba Guy no matter what. As far as you are a Nigerian, you can't be a foreigner within the borders of Nigeria. No matter what state you are from or you are visiting",en,neutral,en
1.51E+18,unrelated,4,Come and explore our new underwater viewing gallery at #DiglisFishPass! 🐟🤩👀 #fishmigration #RiverSevern #RiverConservation #FollowTheShad,en,unrelated,en
1.56E+18,unrelated,4,"I'm at Terminal 1 Immigration Departure in Changi, Singapore https://t.co/szfYHtjVc4",en,unrelated,en
1.54E+18,unrelated,4,@Frank82555029 @deepdiveanarch @GhostGcom It's always been infringed.  Both the owner and the gun.  You wouldn't want those in the insane asylum to own guns do you?,en,unrelated,en
1.57E+18,unrelated,4,"Visa renewal... Another quiet day at the immigration bureau in China's biggest and most international city. Not even bothering with queue tickets anymore, just stand in line. 8 people ahead of me, one white guy, two women speaking Japanese, the rest Chinese with foreign passports https://t.co/j24Xr3xdju",en,neutral,en
1.59E+18,pro-immigration,1,@mrjamesob here’s a start of who’s to blame they make the public scared of foreigners with there daily hatred tweets @GBNEWS @TalkTV @Nigel_Farage @JuliaHB1,en,pro-immigration,en
1.48E+18,unrelated,4,"@GaDangmeArchive @ba_pinga @neequayeboye1 @CunnisElijah @niiayiray @thecoptna flee took refuge in the southeast of present-day Togo🇹🇬 and gave rise, as a result of much interbreeding with the peoples they encountered, to the Guin people of present-day Togo🇹🇬. The Guin people of Togo🇹🇬 are thus the descendants of the Ga-Dangme who fled the Accra region🇬🇭",en,neutral,en
1.53E+18,unrelated,4,#RealKnowledgeOfBuddhism  Mahatma Buddha did spiritual practice against scripture.   It is said in Gita that salvation is possible only by taking refuge of a Tatvdarshi saint.  Mahatma Buddha had not made a guru only. https://t.co/agEH9Dhhot,en,unrelated,en
1.58E+18,unrelated,4,I'm at Allenby Border Control https://t.co/PpuOOZMVIm,en,unrelated,en
1.52E+18,unrelated,4,@RomanKalisz1 @lesiavasylenko Turkey?,en,unrelated,en
1.50E+18,anti-immigration,2,@rickards100 The main thrust of Brexit to keep foreigners out is now undermined by welcoming them back in as refugees... (PS.. I'm a Remainer),en,pro-immigration,en
1.59E+18,anti-immigration,2,Remember the Suspect in Paul Pelosi horrible crime. Is a illegal immigrant. Then DEMs don't want this second one out . The DEMs love Illegal Immigrants.,en,anti-immigration,en
1.56E+18,pro-immigration,1,"@votejgr @thenyic @NICE4Workers @MixtecaOrg @LaColmenaNYC You should doing this long time ago now you will used them for your political benefits. It’s time you politicians do your job & stop using minority, immigrants, lgbtq, women for your political benefits",en,pro-immigration,en
1.54E+18,unrelated,4,This morning’s Sydney Airport update. Breezed through check-in with only a short wait. However the line through immigration and security were out the door. Lots of people stressing about missing their flight.,en,unrelated,en
1.52E+18,unrelated,4,@lesiavasylenko Is that really true?,en,unrelated,en
1.57E+18,neutral,3,"@catturd2 But, but, but, they held a “community forum” on immigration in 2017! 😭",en,neutral,en
1.61E+18,pro-immigration,1,Migrant Education Program is in the holiday spirit with the Ferguson Family and friends. Our Migrant Education students were able to receive holiday gifts thanks to their wonderful donations . https://t.co/4sCJa3DNZA,en,pro-immigration,en
1.59E+18,unrelated,4,I decided to write 'True Refuge' during   https://t.co/0ncE871Wwm,en,unrelated,en
1.54E+18,pro-immigration,1,The last thing #ToryKipUK and Farage want are for refugees to stop crossing the channel........its the red meat to throw at brexit Loons.,en,pro-immigration,en
1.51E+18,pro-immigration,1,European Union action is needed to support Ukrainian refugees https://t.co/ZJBAt1zT5B,en,pro-immigration,en
1.59E+18,anti-immigration,2,"@Feven_Kay @WysguyTequilero @hallfox5 @Culinary226 Yes,Feven, that's exactly the point. I think this is an attempt to get Republicans not to vote for Sheriff, as illegal immigration is a big issue.  They think they are being clever",en,neutral,en
1.55E+18,unrelated,4,✝️♉️💟♎️☮️ I had TWO #BOTS #MIGRATE to #TruthSocial yesterday after the @elonmusk @Twitter deal fell through!🤷‍♂️ @NICKIMINAJ @iamcardib 🧐😆🤣😭 https://t.co/t7aJfS7h33,en,unrelated,en
1.50E+18,unrelated,4,@lesiavasylenko To be honest if it weren't for the mother's of Russia the last great downfall of Russia was because of them. They never give up on their sons and father's. Boring L said thank God for them because the men was more scare than the women about disputing the government of Russia befr,en,unrelated,en
1.52E+18,unrelated,4,@JoanBloggs @KateEmerson88 @AusProgressive Jobseekers. Pensioners. Refugees (including locking them up for lfe). Animals (live export). Waving through pretty much everything Morrison has wanted for the last 3 years. ALP? YES.,en,pro-immigration,en
1.50E+18,neutral,3,Prince Edward Island (PEI). PEI PNP held draw was held on February 17 and invited 117 candidates from the Labour Impact and Express Entry streams and 6 from the Business Impact stream. #Canada #Immigration #aurevoir #education,en,pro-immigration,en
1.57E+18,neutral,3,A great meeting this morning for the Leeds Migration Partnership Operational Group. Thank you to everyone who came and for discussing such important issues which will help our service users greatly. https://t.co/ITrfC5H6ct,en,neutral,en
1.59E+18,unrelated,4,@ian26989031 @Harley_Tory The media seems to !!  But we'll just carry on paying for people who aren't needing political asylum !! Ya C***! 🤣,en,anti-immigration,en
1.59E+18,pro-immigration,1,"Watched the Baddiel documentary with my wife saying ""yeah, that's like the Irish experience"". Million dead, millions forced to emigrate,   misrepresentation of a mainly white race in film & TV etc. added equal rights and voter discrimination. Solidarity to all facing oppression.",en,pro-immigration,en
1.50E+18,unrelated,4,@ankitakashyapp_ India did first nuclear test during Smt Indira Gandhi's rule.,en,unrelated,en
1.58E+18,unrelated,4,Will the rain hold off until 12:30? #kayaking #ChesterRiver #EasternNeck #NationalWildlifeRefuge https://t.co/EDS4YOYhZX,en,unrelated,en
1.51E+18,unrelated,4,@HBOMaxNordic Beforeigners,en,unrelated,en
1.60E+18,pro-immigration,1,"We are all human beings, immigrant or no  https://t.co/lBJCuH5Zwn",en,pro-immigration,en
1.48E+18,anti-immigration,2,If so illegal foreigners must pay the country tax too,en,anti-immigration,en
1.57E+18,unrelated,4,Seriously. As an Australian immigrant let me tell you- it is NOT a bug-free country like they promised me. #queensfuneral,en,neutral,en
1.60E+18,unrelated,4,"@SuellaBraverman Alternatively, you are sending highly vulnerable asylum seekers to a country They’ve never been to before, and are  at  risk of being conscripted into the National Army of. This is anything but world leading.",en,pro-immigration,en
1.57E+18,unrelated,4,@theadtan She's just talking nonsense! A foreigner who knew nothing about our country talking  from the marites point of view! Ignore her completly!,en,unrelated,en
1.59E+18,unrelated,4,Highlights from last nights pier party  #TheAsylumParty Feat. @calidaysay https://t.co/M8UpaiCGXM,en,unrelated,en
1.58E+18,unrelated,4,You know what they say about ducks with big bills... . . #reifelbirdsanctuary #northernshoveler @ George C. Reifel Migratory Bird Sanctuary https://t.co/Zkw2S990Vh,en,unrelated,en
1.56E+18,unrelated,4,I'm not sure how to feel when a googler contacts me to review their new migration guidelines for that oob removal. wait I know https://t.co/LUFFivrgUi,en,unrelated,en
1.57E+18,unrelated,4,"@foreignersinTW Welcome to the shake club, we've been here all weekend 😂",en,unrelated,en
1.53E+18,anti-immigration,2,@JoeBiden @JoeBiden Most powerful domestic terrorist in America is you Dementia coverup  Covid chaos Afghanistan chaos  Border human trafficking and fentanyl Inflation (permanent not temporary)  Supply chain Buttigieg starving babies Gas Crime anti police BBB spending bill China support,en,anti-immigration,en
1.58E+18,anti-immigration,2,@bestofbritish2 @BrugesGroup Immigration will increase to full job vacancies. What do you suggest? Growing fully formed adult humans on trees? Brexit means more immigration from Africa and Asia obviously.,en,anti-immigration,en
1.53E+18,unrelated,4,"My first flight KL-KCH-KL last week. Funny thing is no check by AirAsia or immigration or any authorities on my vaccination status. The only post-pandemic or well, transition-to-endemic SOP that is still being followed is wearing of face masks. No more social distancing etcetera. https://t.co/dHMXqlATCp",en,unrelated,en
1.56E+18,anti-immigration,2,"Deport all illegal immigrants,you'll see there will be a huge decline on crime  #CrimeStats #OperationDudula #PutSouthAfricaFirst",en,anti-immigration,en
1.57E+18,neutral,3,@laplayavida @AnnetteReichel @Yankee_Blu_Girl @small1ldy1 @SteveSchmidtSES Booked for an appt at Immigration they cannot make. Set up for deportation.,en,neutral,en
1.57E+18,unrelated,4,burning man aka the annual migration from san francisco,en,unrelated,en
1.49E+18,anti-immigration,2,doubled in price... in two years. best start building the refugee camps for Canada's homeless now,en,anti-immigration,en
1.57E+18,anti-immigration,2,No True “Border Crisis” so Abbott & DeSantis along with the GOP are paying immigrants to come to the USA to create… https://t.co/iVmu2VyNGb,en,neutral,en
1.60E+18,unrelated,4,How can we pray for you today?  #jemir #jemirsa #jemirsanantoni @ Iglesia Jesucristo Es Mi Refugio https://t.co/JwS50itB3d,en,unrelated,en
1.52E+18,neutral,3,Senators getting together again to solve immigration problem and that’s dangerous because a gang of 8 is doing it instead of a gang of 100,en,pro-immigration,en
1.59E+18,neutral,3,"“Although he does not name any of these ‘immigrants’ explicitly, he is likely referring to prime minister Rishi Sunak, who was born in Southampton to Punjabi parents, or to home secretary Suella Braverman, born in Harrow to refugees fleeing Kenya” https://t.co/SdOfRqfHeS",en,neutral,en
1.55E+18,anti-immigration,2,"Operation Dudula is at the Diakonia Centre in Durban.  They are staging a protest against foreign nationals.  The centre is home to NGOs such as Refugee Social Services, Black Sash and Lawyers for Human Rights and others. #eNCA https://t.co/yB9d5VfohE",en,anti-immigration,en
1.51E+18,unrelated,4,"@News5PH Former President Diosdado MacapagaI today denounced the martiallaw Government of the Philippines as a lawless dictatorship and then sought asylum in the US Embassy. The 65‐year‐old leader, who was in office from 1961 to 1965, losing the election that year to Ferdinand E. Marcos. https://t.co/sag7ZRcXPH",en,unrelated,en
1.58E+18,pro-immigration,1,Thank you to the African Diaspora of Las Vegas for inviting us to your mixer over the weekend and for bringing us together to discuss ways we can continue to support our State's diverse immigrant and refugee communities. https://t.co/xaSuSgxU6N,en,pro-immigration,en
1.60E+18,anti-immigration,2,@jeremycorbyn Majority coming from 'safe' countries otherwise they would apply for asylum in the proper manner not pay gangsters money to bring them across one of the busiest seaways in the world in a rubber boat - you need to mix with real people and come down from your millionaires tower,en,anti-immigration,en
1.58E+18,neutral,3,"Ferrying the state migrants back to their homelands, arranging for food and resting spots on the way, delivering food and medicines at the doorstep of the sick or needy, great efforts were jointly made by",en,neutral,en
1.59E+18,anti-immigration,2,It's common sense. Notice how big caravans aren't even making news anymore? It's all done in the dark. The huge caravans of migrants can't hold a candle to what's coming in now.,en,anti-immigration,en
1.52E+18,pro-immigration,1,"@colinsmo You do realize that the SBC exists today bc they refused to condemn human trafficking? It was formed in defense of and promoted with scripture, the enslavement, breeding, raping, selling, buying, leasing, and working to death humans with black skin.",en,pro-immigration,en
1.52E+18,pro-immigration,1,@DavidSandow1 Unfortunately the country has been suckered into believing that skilled immigrants will take away our jobs when in reality they will be the backbone of our economy filling the 100’s of 000’s of positions Aussies can’t or won’t fill Govt should introduce 457 visa incentives,en,pro-immigration,en
1.60E+18,anti-immigration,2,"Know what's shocking about English immigration policy? They never question ""are things really that bad thst you're going to try and come in an overcrowded, inflatable boat WITH A BABY."" nope fuck off to Uganda.",en,anti-immigration,en
1.61E+18,unrelated,4,"These were the holy grail back in the day. I started off as a goalkeeper before migrating towards attack - and now as I age and my mid-thirties knees slowly collapse, I find myself more and more back in goal 🥅",en,unrelated,en
1.57E+18,pro-immigration,1,@UNrefugees 🙏 Dear we are a Refugee asylum seeker family here Afghanistan. We've been here for over(7)years with #Afghanistan Kabul UNHCR https://t.co/xDw8E9DRQg family anxiety depression loneliness and #traumatized.Please🤲pray and help my family safe lives protection. https://t.co/4yS7jiUpWZ,en,pro-immigration,en
1.58E+18,unrelated,4,@hattrick_LS4C @NorthumFA @WestEndRefugee Who funds these sessions,en,unrelated,en
1.55E+18,unrelated,4,Characteristics of a Complete Satguru(True Guru) #पूर्णगुरु_संतरामपालजी_महाराज Satguru provides true spiritual knowledge. Presently Spiritual Leader Sant Rampal Ji Maharaj Ji is the True Guru. Take refuge in Him. https://t.co/uDqJ3ZPzdA,en,unrelated,en
1.54E+18,anti-immigration,2,"@marybrosiusnj @BeachCity55 I checked & found you are from NJ. Your state has 182k unemployed, 76k currently on unemployment benefits.  Where do you think new migrants will live? Certainly not on your block. Very likely near most those 182k live. To immediately compete with them for jobs & resources. 😒🐀 https://t.co/Ub9GNyJvfe",en,anti-immigration,en
1.50E+18,neutral,3,"peace is not possible through war War only results in loss of both sides. Thousands and millions of children are orphans, women are widows. People are forced to migrate from their native land. #StopWar https://t.co/pwWBJopby3",en,pro-immigration,en
1.58E+18,unrelated,4,@4WhomJBellTolls @MyFantasyLeague Is the potato french fries?,en,unrelated,en
1.54E+18,pro-immigration,1,#LePen’s fascist National Rally are the third biggest group in the French parliament. #Macron’s use of racism & #Islamophobia has legitimised her.  We cannot allow #BorisJohnson’s attempts to scapegoat refugees let the Far Right grow here. #FrenchElection https://t.co/VVf64OKQpv,en,pro-immigration,en
1.58E+18,unrelated,4,Breezed through Immigration and Security. 🥳,en,unrelated,en
1.59E+18,pro-immigration,1,"Historically, most of the hard right, Thatcher & even the far right have not been opposed to immigration per se, but we’re always happy to see skilled (white) Europeans, Canadians, South Africans. Most points-based systems are just sophisticated forms of the same racism.",en,pro-immigration,en
1.58E+18,pro-immigration,1,"We are all human beings, immigrant or no  https://t.co/9ThOVRgpEB",en,pro-immigration,en
1.61E+18,unrelated,4,@TheLastRefuge2 More 🚨 on Musk,en,unrelated,en
1.58E+18,unrelated,4,"@gillianography No. Staff is overworked, underpaid and it's a front for human trafficking",en,unrelated,en
1.60E+18,unrelated,4,"To the former child migrants, who came t  https://t.co/q71Tee6Kyg",en,unrelated,en
1.52E+18,unrelated,4,"@KredelRolf @ralphruthe Clandestine Nazi drugging and poisoning, oppression and discrimination might induce such a state.",en,unrelated,en
